,x,y,z,catch_ids,area
0,339986.1294303211,6986861.717069665,871.3375244140625,1996,2385.9340412442243
1,339948.16606001684,6987520.058194916,793.322509765625,1996,90056.77407574603
2,339783.2648442466,6988546.299074429,726.7849731445312,1996,416233.98684430536
3,339743.66812867543,6989514.79275426,745.8250122070312,1996,509659.948176821
4,339805.54755109997,6990408.89805265,756.4525146484375,1996,353235.7902805542
5,339953.6826437713,6991295.92167927,774.8574829101562,1996,17151.87209669062
6,340544.80758254067,6986734.387720097,899.3350219726562,1996,506788.5907763145
7,340500.00000000006,6987500.000000001,797.1074829101562,1996,1000000.0
8,340500.0,6988500.0,735.9324951171875,1996,1000000.0
9,340500.0,6989500.0,747.344970703125,1996,1000000.0
10,340500.0,6990500.0,757.2675170898438,1996,1000000.0
11,340568.6099588166,6991499.245810808,788.8624877929688,1996,836708.6146244841
12,340716.6354555197,6992514.547840408,821.280029296875,1996,529807.4802975211
13,340594.60126711754,6993491.913812153,882.3699951171875,1996,792345.2868239662
14,340867.5330590444,6994517.236965319,920.79248046875,1996,259801.2081310306
15,340870.35660987295,6995577.48267049,1045.675048828125,1996,236268.07289755467
16,340739.4265191595,6996518.860048592,1196.217529296875,1996,506464.4747318745
17,340740.378036287,6997449.976440058,1178.0550537109375,1996,502247.85809964803
18,340832.92018161784,6998477.148027289,1180.8800048828125,1996,331338.34262903704
19,340638.1364113414,6999604.60636728,911.6799926757812,1996,637998.0947326276
20,340593.8786261819,7000494.913071265,794.7575073242188,1996,804252.9104173507
21,340828.3012807972,7001087.474676795,836.3275146484375,1996,67050.30027737677
22,340771.12963399,7002702.086406243,886.0150146484375,1996,297373.236725223
23,340687.2944559782,7003405.485359018,917.9025268554688,1996,519983.37015988433
24,341482.4338584512,6986680.5153384255,854.9025268554688,1996,636600.5656325333
25,341500.00000000006,6987499.999999999,769.7725219726562,1996,1000000.0
26,341500.0,6988500.0,734.6124877929688,1996,1000000.0
27,341500.0,6989500.0,765.91748046875,1996,1000000.0
28,341500.0,6990500.000000002,790.8300170898438,1996,1000000.0
29,341500.0000000001,6991499.999999999,784.0225219726562,1996,1000000.0
30,341500.0,6992500.000000001,801.8400268554688,1996,1000000.0
31,341500.0,6993499.999999999,869.7274780273438,1996,1000000.0
32,341500.0,6994500.0,877.4774780273438,1996,1000000.0
33,341500.00000000006,6995500.0,968.282470703125,1996,1000000.0
34,341500.0,6996500.000000002,968.3474731445312,1996,1000000.0
35,341500.0,6997499.999999999,959.0275268554688,1996,1000000.0
36,341500.0,6998499.999999999,986.6224975585938,1996,1000000.0
37,341500.0,6999499.999999999,923.4525146484375,1996,1000000.0
38,341500.0,7000500.0,800.5399780273438,1996,1000000.0
39,341595.6572631437,7001431.130690808,885.35498046875,1996,756434.7209668851
40,341517.671080405,7002519.096767287,878.8925170898438,1996,956055.0475981595
41,341502.77297103114,7003497.333032078,904.4724731445312,1996,994156.035588784
42,341628.156451716,7004260.244082631,1008.1649780273438,1996,423975.48682801233
43,342331.9766171555,6986778.986728728,790.9099731445312,1996,324976.1285631569
44,342500.0000000001,6987499.999999999,752.7949829101562,1996,1000000.0
45,342500.00000000006,6988500.0,733.8875122070312,1996,1000000.0
46,342500.0,6989500.0,741.1699829101562,1996,1000000.0
47,342499.99999999994,6990499.999999999,809.4774780273438,1996,1000000.0
48,342500.0000000001,6991499.999999999,834.0449829101562,1996,1000000.0
49,342500.0,6992499.999999999,817.8599853515625,1996,1000000.0
50,342500.00000000006,6993499.999999999,817.8524780273438,1996,1000000.0
51,342500.0,6994500.0,866.9199829101562,1996,1000000.0
52,342500.0000000001,6995500.0,861.282470703125,1996,1000000.0
53,342500.0,6996500.0,891.677490234375,1996,1000000.0
54,342500.0,6997499.999999999,889.3574829101562,1996,1000000.0
55,342500.0,6998499.999999999,888.4375,1996,1000000.0
56,342500.0,6999500.000000001,807.8400268554688,1996,1000000.0
57,342500.0,7000500.0,762.6074829101562,1996,1000000.0
58,342500.0,7001500.0,846.947509765625,1996,1000000.0
59,342500.0000000001,7002500.0,859.8125,1996,1000000.0
60,342500.0,7003499.999999999,842.6749877929688,1996,1000000.0
61,342529.36281095934,7004466.1863160515,830.8724975585938,1996,919986.7622487618
62,342765.8634333395,7005474.642426988,772.8250122070312,1996,463077.86230405816
63,342885.693309798,7006328.87840113,845.7525024414062,1996,168139.61112016384
